Name: Hermitage Road, Instruction: Head south on Hermitage Road, Distance: 145.5 meters, Time: 104.8 seconds
Name: Liesbeek Road West, Instruction: Turn right onto Liesbeek Road West, Distance: 719.2 meters, Time: 517.8 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: Liesbeeck River Trail, Instruction: Turn right onto Liesbeeck River Trail, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn slight left, Distance: 63.0 meters, Time: 45.4 seconds
Name: Lower Burg Road, Instruction: Continue straight onto Lower Burg Road, Distance: 312.4 meters, Time: 225.0 seconds
Name: -, Instruction: Turn right, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 136.3 meters, Time: 98.1 seconds
Name: -, Instruction: Turn right, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Turn right, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
