Name: Jacaranda Court, Instruction: Head north on Jacaranda Court, Distance: 162.5 meters, Time: 117.0 seconds
Name: Wellington Street, Instruction: Turn left onto Wellington Street, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Keep right, Distance: 43.1 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 81.3 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn slight left, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 444.2 meters, Time: 319.8 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
