Name: Hanikura Street, Instruction: Head south on Hanikura Street, Distance: 145.4 meters, Time: 104.7 seconds
Name: Longshore Drive, Instruction: Turn right onto Longshore Drive, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Keep right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Continue straight, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: Glenvar Ridge Road, Instruction: Turn left onto Glenvar Ridge Road, Distance: 48.3 meters, Time: 34.8 seconds
Name: Bounty Road, Instruction: Turn right onto Bounty Road, Distance: 390.0 meters, Time: 280.8 seconds
Name: -, Instruction: Turn right, Distance: 171.4 meters, Time: 123.4 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: Caldera Drive, Instruction: Turn right onto Caldera Drive, Distance: 6.6 meters, Time: 4.7 seconds
Name: Greenlink Rise, Instruction: Turn left onto Greenlink Rise, Distance: 226.3 meters, Time: 162.9 seconds
Name: Caldera Drive, Instruction: Turn right onto Caldera Drive, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.6 seconds
Name: Westerley Place, Instruction: Turn right onto Westerley Place, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.5 seconds
Name: Remuremu Street, Instruction: Turn slight left onto Remuremu Street, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at Remuremu Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
