Name: Calle Presa Salinillas, Instruction: Head east on Calle Presa Salinillas, Distance: 163.4 meters, Time: 117.6 seconds
Name: Calle Presa la Angostura, Instruction: Turn left onto Calle Presa la Angostura, Distance: 241.5 meters, Time: 173.9 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.7 seconds
Name: Calzada Legaria, Instruction: Turn left onto Calzada Legaria, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: Calzada Legaria, Instruction: Turn right onto Calzada Legaria, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 49.6 meters, Time: 35.7 seconds
Name: Calle Abelardo L. Rodríguez, Instruction: Turn slight left onto Calle Abelardo L. Rodríguez, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 98.4 meters, Time: 70.9 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
