Name: Alpspitzring, Instruction: Head northeast on Alpspitzring, Distance: 85.4 meters, Time: 61.5 seconds
Name: Werdenfelser Straße, Instruction: Turn left onto Werdenfelser Straße, Distance: 211.4 meters, Time: 152.2 seconds
Name: Zugspitzstraße, Instruction: Turn left onto Zugspitzstraße, Distance: 245.5 meters, Time: 176.7 seconds
Name: Zugspitzstraße, Instruction: Continue straight onto Zugspitzstraße, Distance: 182.7 meters, Time: 131.5 seconds
Name: Maxhofweg, Instruction: Enter the roundabout and take the 3rd exit onto Maxhofweg, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: Franz-Schuster-Straße, Instruction: Turn slight right onto Franz-Schuster-Straße, Distance: 33.0 meters, Time: 23.8 seconds
Name: Kirchweg, Instruction: Turn left onto Kirchweg, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 30.4 meters, Time: 21.9 seconds
Name: Gautinger Straße, Instruction: Turn right onto Gautinger Straße, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 71.8 meters, Time: 51.7 seconds
Name: Gautinger Straße, Instruction: Turn left onto Gautinger Straße, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 69.4 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 388.3 meters, Time: 279.6 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 472.7 meters, Time: 340.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
