Name: The High Road, Instruction: Head southwest on The High Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 142.7 meters, Time: 102.7 seconds
Name: Allen Street, Instruction: Turn left onto Allen Street, Distance: 336.8 meters, Time: 242.5 seconds
Name: -, Instruction: Turn right, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 149.1 meters, Time: 107.4 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 414.2 meters, Time: 298.2 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Keep left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 81.6 meters, Time: 58.7 seconds
Name: -, Instruction: Turn left, Distance: 404.6 meters, Time: 291.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
