Name: Catherine Close, Instruction: Head northeast on Catherine Close, Distance: 6.1 meters, Time: 4.4 seconds
Name: Spars Road, Instruction: Turn right onto Spars Road, Distance: 103.7 meters, Time: 74.6 seconds
Name: Moyle Street, Instruction: Enter the roundabout and take the 1st exit onto Moyle Street, Distance: 68.5 meters, Time: 49.4 seconds
Name: Pāpākiri Road, Instruction: Turn right onto Pāpākiri Road, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn right, Distance: 68.3 meters, Time: 49.1 seconds
Name: -, Instruction: Turn slight left, Distance: 157.3 meters, Time: 113.3 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 130.9 meters, Time: 94.2 seconds
Name: -, Instruction: Turn slight left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight right, Distance: 72.3 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
