Name: Avenida Río Viejo, Instruction: Head east on Avenida Río Viejo, Distance: 68.1 meters, Time: 49.1 seconds
Name: Avenida José Loreto Fabela, Instruction: Turn left onto Avenida José Loreto Fabela, Distance: 178.5 meters, Time: 128.5 seconds
Name: Avenida 414, Instruction: Turn right onto Avenida 414, Distance: 76.4 meters, Time: 55.0 seconds
Name: Avenida 469, Instruction: Turn left onto Avenida 469, Distance: 185.9 meters, Time: 133.9 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: Avenida 414-A, Instruction: Turn right onto Avenida 414-A, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: Avenida 414-A, Instruction: Turn left onto Avenida 414-A, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 70.9 meters, Time: 51.1 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Keep left, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Avenida 414-A, Instruction: Turn left onto Avenida 414-A, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn left, Distance: 25.3 meters, Time: 18.2 seconds
Name: Avenida 414-A, Instruction: Turn right onto Avenida 414-A, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: Avenida 414-A, Instruction: Turn left onto Avenida 414-A, Distance: 40.9 meters, Time: 29.5 seconds
Name: Avenida 491, Instruction: Turn right onto Avenida 491, Distance: 125.5 meters, Time: 90.4 seconds
Name: Avenida 414, Instruction: Turn left onto Avenida 414, Distance: 176.8 meters, Time: 127.3 seconds
Name: -, Instruction: Turn right, Distance: 63.5 meters, Time: 45.7 seconds
Name: Avenida 414, Instruction: Turn right onto Avenida 414, Distance: 37.9 meters, Time: 27.3 seconds
Name: Calle 1501, Instruction: Turn right onto Calle 1501, Distance: 132.1 meters, Time: 95.1 seconds
Name: -, Instruction: Turn slight left, Distance: 13.4 meters, Time: 9.7 seconds
Name: Avenida 412-A, Instruction: Turn left onto Avenida 412-A, Distance: 495.7 meters, Time: 356.9 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: Calle 1523, Instruction: Continue straight onto Calle 1523, Distance: 136.2 meters, Time: 98.1 seconds
Name: Avenida 412, EJE 5 NTE, Instruction: Turn left onto Avenida 412, EJE 5 NTE, Distance: 37.4 meters, Time: 26.9 seconds
Name: Calle 1525, Instruction: Turn left onto Calle 1525, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at Calle 1525, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
