Name: Elmer Avenue, Instruction: Head southeast on Elmer Avenue, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 996.9 meters, Time: 717.8 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 58.0 meters, Time: 41.7 seconds
Name: Queen Street East, Instruction: Turn left onto Queen Street East, Distance: 17.1 meters, Time: 12.3 seconds
Name: Northern Dancer Boulevard, Instruction: Turn right onto Northern Dancer Boulevard, Distance: 202.2 meters, Time: 145.6 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 256.8 meters, Time: 184.9 seconds
Name: -, Instruction: Turn slight left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 125.6 meters, Time: 90.4 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
