Name: شارع احمد بن حنبل الجانبى, Instruction: Head north on شارع احمد بن حنبل الجانبى, Distance: 177.4 meters, Time: 127.8 seconds
Name: شارع احمد بن حنبل, Instruction: Turn right onto شارع احمد بن حنبل, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: شارع احمد بن حنبل, Instruction: Turn sharp right onto شارع احمد بن حنبل, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep left, Distance: 57.5 meters, Time: 41.4 seconds
Name: شارع طلعت مصطفى, Instruction: Turn slight left onto شارع طلعت مصطفى, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Keep left, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Keep right, Distance: 21.6 meters, Time: 15.5 seconds
Name: شارع طلعت مصطفى, Instruction: Turn slight left onto شارع طلعت مصطفى, Distance: 98.1 meters, Time: 70.6 seconds
Name: شارع ابو خليفه النعمان, Instruction: Keep right onto شارع ابو خليفه النعمان, Distance: 69.3 meters, Time: 49.9 seconds
Name: شارع ابو خليفه النعمان الجانبى, Instruction: Turn left onto شارع ابو خليفه النعمان الجانبى, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Keep left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn slight right, Distance: 233.0 meters, Time: 167.8 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: شارع عمرو بن العاص, Instruction: Enter the roundabout and take the 1st exit onto شارع عمرو بن العاص, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: شارع عمرو بن العاص, Instruction: Turn right onto شارع عمرو بن العاص, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 237.8 meters, Time: 171.2 seconds
Name: -, Instruction: Turn right, Distance: 162.9 meters, Time: 117.3 seconds
Name: شارع ابو بكر الصديق الجانبى, Instruction: Turn slight left onto شارع ابو بكر الصديق الجانبى, Distance: 7.7 meters, Time: 5.5 seconds
Name: شارع ابو بكر الصديق, Instruction: Turn left onto شارع ابو بكر الصديق, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: شارع ابو بكر الصديق, Instruction: Turn left onto شارع ابو بكر الصديق, Distance: 98.3 meters, Time: 70.8 seconds
Name: شارع ابو بكر الصديق, Instruction: Enter the roundabout and take the 3rd exit onto شارع ابو بكر الصديق, Distance: 73.7 meters, Time: 53.0 seconds
Name: شارع ابو بكر الصديق الجانبى, Instruction: Keep right onto شارع ابو بكر الصديق الجانبى, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 73.0 meters, Time: 52.5 seconds
Name: شارع فريد شوقي, Instruction: Turn left onto شارع فريد شوقي, Distance: 57.3 meters, Time: 41.3 seconds
Name: شارع يحيي شاهين, Instruction: Turn right onto شارع يحيي شاهين, Distance: 94.4 meters, Time: 68.0 seconds
Name: شارع محمود المليجي, Instruction: Turn left onto شارع محمود المليجي, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Arrive at شارع محمود المليجي, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
