Name: Prinzregentenstraße, Instruction: Head west on Prinzregentenstraße, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Keep left, Distance: 247.2 meters, Time: 178.0 seconds
Name: -, Instruction: Turn right, Distance: 120.4 meters, Time: 86.7 seconds
Name: Freiherr-von-Pechmann-Weg, Instruction: Turn right onto Freiherr-von-Pechmann-Weg, Distance: 4.9 meters, Time: 3.6 seconds
Name: Freiherr-von-Pechmann-Weg, Instruction: Turn left onto Freiherr-von-Pechmann-Weg, Distance: 9.8 meters, Time: 7.1 seconds
Name: Schönfeldstraße, Instruction: Turn slight left onto Schönfeldstraße, Distance: 157.6 meters, Time: 113.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 79.5 meters, Time: 57.3 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Keep right, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Keep left, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Keep right, Distance: 97.0 meters, Time: 69.8 seconds
Name: Walter-Klingenbeck-Weg, Instruction: Turn left onto Walter-Klingenbeck-Weg, Distance: 91.4 meters, Time: 65.8 seconds
Name: Ludwigstraße, Instruction: Turn right onto Ludwigstraße, Distance: 107.7 meters, Time: 77.5 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
