Name: حارة عونى, Instruction: Head southwest on حارة عونى, Distance: 21.3 meters, Time: 15.3 seconds
Name: شارع الوسط, Instruction: Turn right onto شارع الوسط, Distance: 65.3 meters, Time: 47.0 seconds
Name: شارع المتحف, Instruction: Turn left onto شارع المتحف, Distance: 37.2 meters, Time: 26.8 seconds
Name: شارع المتحف, Instruction: Continue straight onto شارع المتحف, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 15.7 meters, Time: 11.3 seconds
Name: شارع رايل, Instruction: Turn left onto شارع رايل, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn right, Distance: 170.5 meters, Time: 122.8 seconds
Name: -, Instruction: Turn right, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 89.3 meters, Time: 64.3 seconds
Name: شارع محمد حماد, Instruction: Turn left onto شارع محمد حماد, Distance: 336.5 meters, Time: 242.3 seconds
Name: -, Instruction: Turn right, Distance: 94.0 meters, Time: 67.7 seconds
Name: شارع المساكن, Instruction: Turn left onto شارع المساكن, Distance: 140.8 meters, Time: 101.4 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: شارع الجامعه, Instruction: Turn left onto شارع الجامعه, Distance: 88.6 meters, Time: 63.8 seconds
Name: شارع المساكن, Instruction: Turn slight right onto شارع المساكن, Distance: 53.5 meters, Time: 38.5 seconds
Name: شارع مسجد نور الاسلام, Instruction: Keep left onto شارع مسجد نور الاسلام, Distance: 28.4 meters, Time: 20.5 seconds
Name: شارع الزهور, Instruction: Turn left onto شارع الزهور, Distance: 261.2 meters, Time: 188.0 seconds
Name: -, Instruction: Arrive at شارع الزهور, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
