Name: Jerningham Road, Instruction: Head north on Jerningham Road, Distance: 99.0 meters, Time: 71.2 seconds
Name: Musgrove Road, Instruction: Turn left onto Musgrove Road, Distance: 109.5 meters, Time: 78.8 seconds
Name: Troutbeck Road, Instruction: Turn right onto Troutbeck Road, Distance: 205.4 meters, Time: 147.9 seconds
Name: -, Instruction: Turn left, Distance: 254.2 meters, Time: 183.0 seconds
Name: -, Instruction: Turn right, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 207.5 meters, Time: 149.4 seconds
Name: New Cross Road, Instruction: Continue straight onto New Cross Road, Distance: 171.1 meters, Time: 123.2 seconds
Name: -, Instruction: Turn right, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn right, Distance: 592.9 meters, Time: 426.9 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
