Name: Avenida Ernani Cardoso, Instruction: Head west on Avenida Ernani Cardoso, Distance: 92.4 meters, Time: 66.5 seconds
Name: Rua Mendes de Aguiar, Instruction: Turn right onto Rua Mendes de Aguiar, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 226.3 meters, Time: 162.9 seconds
Name: Rua Curimatá, Instruction: Turn slight left onto Rua Curimatá, Distance: 229.9 meters, Time: 165.5 seconds
Name: Rua Padre Manso, Instruction: Turn right onto Rua Padre Manso, Distance: 103.3 meters, Time: 74.4 seconds
Name: Praça Armando Cruz, Instruction: Keep right onto Praça Armando Cruz, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 78.0 meters, Time: 56.2 seconds
Name: Rua Padre Manso, Instruction: Turn left onto Rua Padre Manso, Distance: 151.9 meters, Time: 109.3 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn right, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn slight left, Distance: 97.3 meters, Time: 70.1 seconds
Name: Rua Fancisco Batista, Instruction: Turn left onto Rua Fancisco Batista, Distance: 92.7 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 47.7 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: Rua Fancisco Batista, Instruction: Turn sharp right onto Rua Fancisco Batista, Distance: 15.2 meters, Time: 10.9 seconds
Name: Rua Carvalho de Souza, Instruction: Turn sharp left onto Rua Carvalho de Souza, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Arrive at Rua Carvalho de Souza, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
