Name: Catherine Close, Instruction: Head northeast on Catherine Close, Distance: 6.1 meters, Time: 4.4 seconds
Name: Spars Road, Instruction: Turn right onto Spars Road, Distance: 103.7 meters, Time: 74.6 seconds
Name: Moyle Street, Instruction: Enter the roundabout and take the 1st exit onto Moyle Street, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 200.3 meters, Time: 144.2 seconds
Name: -, Instruction: Turn slight right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn right, Distance: 140.8 meters, Time: 101.4 seconds
Name: -, Instruction: Turn slight right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn slight right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
