Name: Grilse Close, Instruction: Head southeast on Grilse Close, Distance: 106.2 meters, Time: 76.5 seconds
Name: Parr Close, Instruction: Turn right onto Parr Close, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn slight right, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn slight left, Distance: 387.6 meters, Time: 279.1 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: West Mall, Instruction: Turn sharp left onto West Mall, Distance: 28.7 meters, Time: 20.7 seconds
Name: South Mall, Instruction: Turn right onto South Mall, Distance: 174.7 meters, Time: 125.8 seconds
Name: Market Square, Instruction: Turn left onto Market Square, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Keep right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.5 seconds
Name: The Green, A1010, Instruction: Turn right onto The Green, A1010, Distance: 35.7 meters, Time: 25.7 seconds
Name: Balham Road, Instruction: Turn left onto Balham Road, Distance: 369.0 meters, Time: 265.7 seconds
Name: Croyland Road, Instruction: Turn right onto Croyland Road, Distance: 38.7 meters, Time: 27.9 seconds
Name: Wrampling Place, Instruction: Turn left onto Wrampling Place, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Arrive at Wrampling Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
