Name: Square de Maubeuge, Instruction: Head north on Square de Maubeuge, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn slight right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn slight left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn slight right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Keep left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn slight right, Distance: 81.3 meters, Time: 58.5 seconds
Name: -, Instruction: Turn left, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.4 seconds
Name: Rue de Maubeuge, Instruction: Turn right onto Rue de Maubeuge, Distance: 14.6 meters, Time: 10.5 seconds
Name: Rue de Dunkerque, Instruction: Turn slight right onto Rue de Dunkerque, Distance: 101.3 meters, Time: 72.9 seconds
Name: Rue de Compiègne, Instruction: Turn left onto Rue de Compiègne, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Keep left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
