Name: Glenvar Road, Instruction: Head west on Glenvar Road, Distance: 177.3 meters, Time: 127.7 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Keep left, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 137.8 meters, Time: 99.2 seconds
Name: Remuremu Street, Instruction: Turn left onto Remuremu Street, Distance: 2.9 meters, Time: 2.1 seconds
Name: Boardwalk Rise, Instruction: Turn right onto Boardwalk Rise, Distance: 152.9 meters, Time: 110.1 seconds
Name: Caldera Drive, Instruction: Turn left onto Caldera Drive, Distance: 32.7 meters, Time: 23.5 seconds
Name: Greenlink Rise, Instruction: Turn right onto Greenlink Rise, Distance: 226.3 meters, Time: 162.9 seconds
Name: Caldera Drive, Instruction: Turn right onto Caldera Drive, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 171.4 meters, Time: 123.4 seconds
Name: Bounty Road, Instruction: Turn left onto Bounty Road, Distance: 390.0 meters, Time: 280.8 seconds
Name: Glenvar Ridge Road, Instruction: Turn left onto Glenvar Ridge Road, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Keep left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
