Name: Boyle Crescent, Instruction: Head east on Boyle Crescent, Distance: 89.1 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 157.6 meters, Time: 113.5 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: Park Road Shared Path, Instruction: Turn right onto Park Road Shared Path, Distance: 256.0 meters, Time: 184.3 seconds
Name: Carlton Gore Road, Instruction: Continue straight onto Carlton Gore Road, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 552.3 meters, Time: 397.7 seconds
Name: -, Instruction: Turn left, Distance: 255.2 meters, Time: 183.7 seconds
Name: -, Instruction: Keep right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Parnell Road, Instruction: Turn left onto Parnell Road, Distance: 183.6 meters, Time: 132.2 seconds
Name: Cathedral Place, Instruction: Turn right onto Cathedral Place, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 169.8 meters, Time: 122.3 seconds
Name: -, Instruction: Turn right, Distance: 135.7 meters, Time: 97.7 seconds
Name: -, Instruction: Turn left, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
