Name: Beresford Road, Instruction: Head north on Beresford Road, Distance: 179.1 meters, Time: 129.0 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn right, Distance: 337.5 meters, Time: 243.0 seconds
Name: Targo Road, Instruction: Turn left onto Targo Road, Distance: 88.3 meters, Time: 63.6 seconds
Name: Bombala Street, Instruction: Turn right onto Bombala Street, Distance: 142.3 meters, Time: 102.4 seconds
Name: Bombala Street, Instruction: Turn left onto Bombala Street, Distance: 574.6 meters, Time: 413.7 seconds
Name: -, Instruction: Turn right, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: Magowar Road, Instruction: Turn right onto Magowar Road, Distance: 18.1 meters, Time: 13.1 seconds
Name: Macklin Street, Instruction: Turn left onto Macklin Street, Distance: 385.7 meters, Time: 277.7 seconds
Name: -, Instruction: Turn left, Distance: 103.1 meters, Time: 74.3 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
