Name: شارع 33, Instruction: Head southwest on شارع 33, Distance: 403.9 meters, Time: 290.8 seconds
Name: شارع 36, Instruction: Turn right onto شارع 36, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: شارع 36, Instruction: Turn sharp right onto شارع 36, Distance: 41.3 meters, Time: 29.7 seconds
Name: شارع 35, Instruction: Turn left onto شارع 35, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn left, Distance: 51.9 meters, Time: 37.4 seconds
Name: شارع 2, Instruction: Turn left onto شارع 2, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 50.6 meters, Time: 36.4 seconds
Name: شارع 2, Instruction: Turn right onto شارع 2, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 62.0 meters, Time: 44.7 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
