Name: Snaresbrook Road, Instruction: Head northwest on Snaresbrook Road, Distance: 97.6 meters, Time: 70.3 seconds
Name: Whitehouse Way, Instruction: Turn left onto Whitehouse Way, Distance: 68.3 meters, Time: 49.1 seconds
Name: Rushy Close, Instruction: Turn right onto Rushy Close, Distance: 156.1 meters, Time: 112.4 seconds
Name: Balvenie Avenue, Instruction: Turn left onto Balvenie Avenue, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: Neptune Street, Instruction: Turn right onto Neptune Street, Distance: 290.8 meters, Time: 209.3 seconds
Name: -, Instruction: Turn left, Distance: 88.5 meters, Time: 63.8 seconds
Name: Grand Vue Avenue, Instruction: Turn right onto Grand Vue Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: Uranus Close, Instruction: Turn left onto Uranus Close, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: Pluto Street, Instruction: Turn right onto Pluto Street, Distance: 59.0 meters, Time: 42.5 seconds
Name: Grand Vue Avenue, Instruction: Turn left onto Grand Vue Avenue, Distance: 47.4 meters, Time: 34.1 seconds
Name: Mountain View Road, Instruction: Turn right onto Mountain View Road, Distance: 377.4 meters, Time: 271.7 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.6 seconds
Name: Athlone Street, Instruction: Turn slight right onto Athlone Street, Distance: 198.0 meters, Time: 142.6 seconds
Name: Batavia Road, Instruction: Turn left onto Batavia Road, Distance: 621.4 meters, Time: 447.4 seconds
Name: Batavia Road, Instruction: Turn right onto Batavia Road, Distance: 117.3 meters, Time: 84.5 seconds
Name: -, Instruction: Arrive at Batavia Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
