Name: Rue Vitruve, Instruction: Head southwest on Rue Vitruve, Distance: 257.7 meters, Time: 185.5 seconds
Name: Place de la Réunion, Instruction: Turn right onto Place de la Réunion, Distance: 81.2 meters, Time: 58.5 seconds
Name: Rue Alexandre Dumas, Instruction: Turn right onto Rue Alexandre Dumas, Distance: 347.2 meters, Time: 250.0 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 229.6 meters, Time: 165.3 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 283.9 meters, Time: 204.4 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: Cité Voltaire, Instruction: Turn left onto Cité Voltaire, Distance: 7.3 meters, Time: 5.2 seconds
Name: Cité Voltaire, Instruction: Keep left onto Cité Voltaire, Distance: 93.3 meters, Time: 67.1 seconds
Name: -, Instruction: Arrive at Cité Voltaire, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
