Name: Clinton Street, Instruction: Head south on Clinton Street, Distance: 569.0 meters, Time: 409.7 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 51.7 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: Grace Street, Instruction: Turn left onto Grace Street, Distance: 219.5 meters, Time: 158.0 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 572.0 meters, Time: 411.8 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 141.4 meters, Time: 101.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
