Name: Centenary Square, Instruction: Head south on Centenary Square, Distance: 245.6 meters, Time: 176.8 seconds
Name: -, Instruction: Keep left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Continue straight, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 182.0 meters, Time: 131.0 seconds
Name: -, Instruction: Turn slight right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight right, Distance: 1101.1 meters, Time: 792.8 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: Concourse, Instruction: Turn right onto Concourse, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 195.2 meters, Time: 140.5 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: Hawkesbury Road, Instruction: Turn right onto Hawkesbury Road, Distance: 78.8 meters, Time: 56.7 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 229.4 meters, Time: 165.2 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Keep right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
