Name: Shaw Street, Instruction: Head south on Shaw Street, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 59.9 meters, Time: 43.2 seconds
Name: -, Instruction: Keep left, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 28.0 seconds
Name: -, Instruction: Turn slight right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn right, Distance: 180.2 meters, Time: 129.8 seconds
Name: Concord Avenue, Instruction: Turn left onto Concord Avenue, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 203.4 meters, Time: 146.4 seconds
Name: -, Instruction: Turn left, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: Dovercourt Road, Instruction: Turn left onto Dovercourt Road, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 55.2 meters, Time: 39.8 seconds
Name: -, Instruction: Keep right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Keep right, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Keep right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Keep right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Rusholme Road, Instruction: Turn left onto Rusholme Road, Distance: 642.5 meters, Time: 462.6 seconds
Name: -, Instruction: Turn right, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 176.9 meters, Time: 127.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
