Name: Hereford Street, Instruction: Head east on Hereford Street, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn right, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn slight right, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Keep left, Distance: 84.9 meters, Time: 61.1 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 227.5 meters, Time: 163.8 seconds
Name: -, Instruction: Keep left, Distance: 576.1 meters, Time: 414.8 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 365.1 meters, Time: 262.9 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: Toru Street, Instruction: Turn left onto Toru Street, Distance: 119.9 meters, Time: 86.3 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
