Name: Isobel Road, Instruction: Head northwest on Isobel Road, Distance: 125.0 meters, Time: 90.0 seconds
Name: Olwyn Place, Instruction: Turn right onto Olwyn Place, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn left, Distance: 246.1 meters, Time: 177.2 seconds
Name: Wainoni Heights, Instruction: Turn left onto Wainoni Heights, Distance: 266.8 meters, Time: 192.1 seconds
Name: -, Instruction: Turn right, Distance: 220.9 meters, Time: 159.0 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Orwell Road, Instruction: Turn left onto Orwell Road, Distance: 375.5 meters, Time: 270.3 seconds
Name: Kyle Road, Instruction: Continue straight onto Kyle Road, Distance: 256.4 meters, Time: 184.6 seconds
Name: Northbrook Close, Instruction: Turn right onto Northbrook Close, Distance: 197.7 meters, Time: 142.3 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn left, Distance: 96.9 meters, Time: 69.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
