Name: Gul Crescent, Instruction: Head east on Gul Crescent, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 188.6 meters, Time: 135.8 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn slight right, Distance: 194.3 meters, Time: 139.9 seconds
Name: -, Instruction: Keep left, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: Gul Road, Instruction: Turn right onto Gul Road, Distance: 338.2 meters, Time: 243.5 seconds
Name: Pioneer Sector 2, Instruction: Turn right onto Pioneer Sector 2, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 189.9 meters, Time: 136.8 seconds
Name: Pioneer Sector 2, Instruction: Turn left onto Pioneer Sector 2, Distance: 158.0 meters, Time: 113.7 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
