Name: Freeland Avenue, Instruction: Head southwest on Freeland Avenue, Distance: 184.2 meters, Time: 132.6 seconds
Name: Glynn Street, Instruction: Turn right onto Glynn Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn slight left, Distance: 242.1 meters, Time: 174.3 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 150.2 meters, Time: 108.2 seconds
Name: -, Instruction: Turn right, Distance: 173.8 meters, Time: 125.1 seconds
Name: Gaynor Street, Instruction: Turn right onto Gaynor Street, Distance: 587.1 meters, Time: 422.7 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Keep right, Distance: 152.1 meters, Time: 109.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 156.9 meters, Time: 113.0 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 126.9 meters, Time: 91.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 136.5 meters, Time: 98.3 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 77.4 meters, Time: 55.8 seconds
Name: -, Instruction: Keep right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
