Name: Kabardin Street, Instruction: Head northeast on Kabardin Street, Distance: 33.5 meters, Time: 24.1 seconds
Name: Exmoor Road, Instruction: Turn left onto Exmoor Road, Distance: 157.4 meters, Time: 113.3 seconds
Name: Falabella Lane, Instruction: Turn right onto Falabella Lane, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.9 meters, Time: 11.4 seconds
Name: Hingaia Road, Instruction: Turn left onto Hingaia Road, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 321.8 meters, Time: 231.7 seconds
Name: -, Instruction: Keep left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 101.4 meters, Time: 73.0 seconds
Name: Trenton Avenue, Instruction: Turn left onto Trenton Avenue, Distance: 185.5 meters, Time: 133.6 seconds
Name: -, Instruction: Arrive at Trenton Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
