Name: Stengelstraße, Instruction: Head north on Stengelstraße, Distance: 7.1 meters, Time: 5.1 seconds
Name: Brabanter Straße, Instruction: Continue straight onto Brabanter Straße, Distance: 82.6 meters, Time: 59.5 seconds
Name: Luxemburger Straße, Instruction: Turn left onto Luxemburger Straße, Distance: 213.5 meters, Time: 153.7 seconds
Name: Ungererstraße, Instruction: Turn left onto Ungererstraße, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 96.9 meters, Time: 69.7 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 64.1 meters, Time: 46.2 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: Traubestraße, Instruction: Turn right onto Traubestraße, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Keep right, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: Schinkelstraße, Instruction: Turn left onto Schinkelstraße, Distance: 82.3 meters, Time: 59.2 seconds
Name: Schinkelstraße, Instruction: Keep right onto Schinkelstraße, Distance: 208.5 meters, Time: 150.1 seconds
Name: -, Instruction: Turn left, Distance: 163.0 meters, Time: 117.3 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 104.8 meters, Time: 75.5 seconds
Name: -, Instruction: Keep right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
