Name: Hanikura Street, Instruction: Head south on Hanikura Street, Distance: 145.4 meters, Time: 104.7 seconds
Name: Longshore Drive, Instruction: Turn right onto Longshore Drive, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Keep right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Continue straight, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 202.2 meters, Time: 145.5 seconds
Name: -, Instruction: Keep right, Distance: 164.5 meters, Time: 118.5 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Continue straight, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Keep right, Distance: 473.4 meters, Time: 340.8 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 77.3 meters, Time: 55.7 seconds
Name: Ashley Avenue, Instruction: Turn left onto Ashley Avenue, Distance: 60.2 meters, Time: 43.3 seconds
Name: Ashley Avenue, Instruction: Keep right onto Ashley Avenue, Distance: 39.5 meters, Time: 28.4 seconds
Name: Ashley Avenue, Instruction: Enter the roundabout and take the 1st exit onto Ashley Avenue, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Arrive at Ashley Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
