Name: Liberty Crescent, Instruction: Head east on Liberty Crescent, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Turn slight left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: Mahutonga Avenue, Instruction: Turn left onto Mahutonga Avenue, Distance: 413.4 meters, Time: 297.7 seconds
Name: Kahawairahi Drive, Instruction: Turn right onto Kahawairahi Drive, Distance: 274.0 meters, Time: 197.3 seconds
Name: -, Instruction: Turn right, Distance: 82.6 meters, Time: 59.5 seconds
Name: Marine Garden Crescent, Instruction: Turn left onto Marine Garden Crescent, Distance: 338.8 meters, Time: 244.0 seconds
Name: Ninth View Avenue, Instruction: Turn left onto Ninth View Avenue, Distance: 553.3 meters, Time: 398.4 seconds
Name: -, Instruction: Arrive at Ninth View Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
