Name: Logan Street, Instruction: Head north on Logan Street, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 84.1 meters, Time: 60.5 seconds
Name: -, Instruction: Turn left, Distance: 158.4 meters, Time: 114.0 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Pennsylvania Street, Instruction: Turn left onto Pennsylvania Street, Distance: 151.6 meters, Time: 109.1 seconds
Name: -, Instruction: Turn left, Distance: 67.1 meters, Time: 48.3 seconds
Name: -, Instruction: Turn right, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 257.8 meters, Time: 185.6 seconds
Name: -, Instruction: Turn right, Distance: 103.7 meters, Time: 74.7 seconds
Name: -, Instruction: Turn left, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
