Name: Centenary Square, Instruction: Head north on Centenary Square, Distance: 47.7 meters, Time: 34.4 seconds
Name: Parramatta Square, Instruction: Turn sharp right onto Parramatta Square, Distance: 192.8 meters, Time: 138.8 seconds
Name: -, Instruction: Turn left, Distance: 85.4 meters, Time: 61.5 seconds
Name: Macquarie Street, Instruction: Turn right onto Macquarie Street, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn slight right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn slight left, Distance: 412.1 meters, Time: 296.7 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 112.8 meters, Time: 81.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
