Name: Starke Road, Instruction: Head northwest on Starke Road, Distance: 233.7 meters, Time: 168.3 seconds
Name: Homestead Avenue, Instruction: Turn sharp right onto Homestead Avenue, Distance: 92.8 meters, Time: 66.8 seconds
Name: Dreyersdal Road, Instruction: Turn left onto Dreyersdal Road, Distance: 388.8 meters, Time: 279.9 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 702.0 meters, Time: 505.4 seconds
Name: -, Instruction: Keep right, Distance: 190.9 meters, Time: 137.5 seconds
Name: -, Instruction: Turn slight left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: Huxley Drive, Instruction: Turn right onto Huxley Drive, Distance: 57.7 meters, Time: 41.6 seconds
Name: -, Instruction: Arrive at Huxley Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
