Name: Rue Pierre Lhomme, Instruction: Head west on Rue Pierre Lhomme, Distance: 63.6 meters, Time: 45.8 seconds
Name: Rue Adam Ledoux, Instruction: Turn left onto Rue Adam Ledoux, Distance: 107.7 meters, Time: 77.6 seconds
Name: Rue de l'Alma, Instruction: Turn right onto Rue de l'Alma, Distance: 124.6 meters, Time: 89.7 seconds
Name: Promenade Saint-Nicolas, Instruction: Turn left onto Promenade Saint-Nicolas, Distance: 201.7 meters, Time: 145.3 seconds
Name: -, Instruction: Turn right, Distance: 264.9 meters, Time: 190.7 seconds
Name: Rue d'Aboukir, Instruction: Turn left onto Rue d'Aboukir, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Keep left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Turn slight left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Rampe d'Accès Esplanade, Instruction: Keep left onto Rampe d'Accès Esplanade, Distance: 202.6 meters, Time: 145.9 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.6 seconds
Name: Esplanade du Général de Gaulle, Instruction: Turn left onto Esplanade du Général de Gaulle, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 59.9 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 123.7 meters, Time: 89.1 seconds
Name: Place du Sud, Instruction: Turn right onto Place du Sud, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn right, Distance: 73.5 meters, Time: 52.9 seconds
Name: Allée des Valettes, Instruction: Keep right onto Allée des Valettes, Distance: 174.5 meters, Time: 125.7 seconds
Name: Rue Anatole France, D 9, Instruction: Turn left onto Rue Anatole France, D 9, Distance: 51.1 meters, Time: 36.8 seconds
Name: Rue Montaigne, Instruction: Turn right onto Rue Montaigne, Distance: 150.2 meters, Time: 108.2 seconds
Name: -, Instruction: Arrive at Rue Montaigne, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
