Name: Burndale Terrace, Instruction: Head east on Burndale Terrace, Distance: 77.7 meters, Time: 56.0 seconds
Name: Gainsborough Street, Instruction: Turn right onto Gainsborough Street, Distance: 228.0 meters, Time: 164.2 seconds
Name: -, Instruction: Turn right, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 318.8 meters, Time: 229.6 seconds
Name: -, Instruction: Keep left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Turn slight right, Distance: 259.8 meters, Time: 187.0 seconds
Name: Dr Pickering Avenue, Instruction: Turn sharp right onto Dr Pickering Avenue, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 251.8 meters, Time: 181.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
