Name: Leiblstraße, Instruction: Head northeast on Leiblstraße, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Keep left, Distance: 26.7 meters, Time: 19.2 seconds
Name: Kuckucksweg, Instruction: Turn slight left onto Kuckucksweg, Distance: 98.0 meters, Time: 70.6 seconds
Name: Paosostraße, Instruction: Turn right onto Paosostraße, Distance: 581.3 meters, Time: 418.5 seconds
Name: Paosostraße, Instruction: Continue straight onto Paosostraße, Distance: 1134.7 meters, Time: 817.0 seconds
Name: -, Instruction: Turn left, Distance: 199.1 meters, Time: 143.4 seconds
Name: Neufeldstraße, Instruction: Turn right onto Neufeldstraße, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 95.5 meters, Time: 68.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 170.7 meters, Time: 122.9 seconds
Name: Ernsbergerstraße, Instruction: Turn right onto Ernsbergerstraße, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at Ernsbergerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
