Name: Picnic Point Road, Instruction: Head south on Picnic Point Road, Distance: 26.0 meters, Time: 18.7 seconds
Name: Doris Street, Instruction: Turn right onto Doris Street, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 646.7 meters, Time: 465.6 seconds
Name: Lawler Street, Instruction: Turn left onto Lawler Street, Distance: 289.5 meters, Time: 208.4 seconds
Name: Clifford Street, Instruction: Turn right onto Clifford Street, Distance: 943.5 meters, Time: 679.3 seconds
Name: -, Instruction: Turn left, Distance: 132.2 meters, Time: 95.2 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.3 seconds
Name: -, Instruction: Turn slight right, Distance: 131.7 meters, Time: 94.8 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
