Name: Choa Chu Kang Street 51, Instruction: Head east on Choa Chu Kang Street 51, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 109.1 meters, Time: 78.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 104.9 meters, Time: 75.6 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 8.0 seconds
Name: Choa Chu Kang North Park Connector, Instruction: Continue straight onto Choa Chu Kang North Park Connector, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn slight right, Distance: 121.3 meters, Time: 87.3 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: Choa Chu Kang Park Connector, Instruction: Turn right onto Choa Chu Kang Park Connector, Distance: 18.9 meters, Time: 13.6 seconds
Name: Choa Chu Kang Park Connector, Instruction: Turn right onto Choa Chu Kang Park Connector, Distance: 433.3 meters, Time: 312.0 seconds
Name: -, Instruction: Turn slight left, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn slight left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 373.6 meters, Time: 269.0 seconds
Name: -, Instruction: Turn slight left, Distance: 454.3 meters, Time: 327.1 seconds
Name: -, Instruction: Turn left, Distance: 177.8 meters, Time: 128.0 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
