Name: Peck Seah Street, Instruction: Head south on Peck Seah Street, Distance: 70.0 meters, Time: 50.4 seconds
Name: Gopeng Street, Instruction: Turn left onto Gopeng Street, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 113.9 meters, Time: 82.0 seconds
Name: -, Instruction: Turn right, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 187.0 meters, Time: 134.6 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Keep left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: Anson Road, Instruction: Turn left onto Anson Road, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Arrive at Anson Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
