Name: Busy Street, Instruction: Head west on Busy Street, Distance: 15.6 meters, Time: 11.2 seconds
Name: Logan Avenue, Instruction: Turn left onto Logan Avenue, Distance: 42.2 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 350.5 meters, Time: 252.4 seconds
Name: Boulton Avenue, Instruction: Turn left onto Boulton Avenue, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 249.7 meters, Time: 179.8 seconds
Name: -, Instruction: Turn left, Distance: 44.2 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 144.2 meters, Time: 103.8 seconds
Name: -, Instruction: Keep left, Distance: 65.2 meters, Time: 47.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 457.2 meters, Time: 329.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
