Name: Petir Road, Instruction: Head northwest on Petir Road, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 251.8 meters, Time: 181.3 seconds
Name: Pang Sua Park Connector, Instruction: Continue straight onto Pang Sua Park Connector, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn right, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 154.9 meters, Time: 111.5 seconds
Name: -, Instruction: Turn left, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
