Name: St. Dunstan Drive, Instruction: Head south on St. Dunstan Drive, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 84.6 meters, Time: 60.9 seconds
Name: Macey Avenue, Instruction: Turn left onto Macey Avenue, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 510.2 meters, Time: 367.3 seconds
Name: -, Instruction: Keep left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight right, Distance: 648.2 meters, Time: 466.7 seconds
Name: -, Instruction: Keep left, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight left, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn slight left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
