Name: Morris Road, Instruction: Head southeast on Morris Road, Distance: 123.5 meters, Time: 88.9 seconds
Name: Carbrook Avenue, Instruction: Turn left onto Carbrook Avenue, Distance: 325.9 meters, Time: 234.7 seconds
Name: Cavendish Street, Instruction: Turn right onto Cavendish Street, Distance: 9.8 meters, Time: 7.0 seconds
Name: Brooke Street, Instruction: Turn left onto Brooke Street, Distance: 247.5 meters, Time: 178.2 seconds
Name: -, Instruction: Turn right, Distance: 100.6 meters, Time: 72.5 seconds
Name: -, Instruction: Turn slight left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight left, Distance: 106.6 meters, Time: 76.7 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 306.4 meters, Time: 220.6 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
