Name: Surdown Walk, Instruction: Head north on Surdown Walk, Distance: 238.9 meters, Time: 172.0 seconds
Name: Lynburg Road, Instruction: Turn left onto Lynburg Road, Distance: 188.5 meters, Time: 135.7 seconds
Name: Turflyn Walk, Instruction: Turn right onto Turflyn Walk, Distance: 15.4 meters, Time: 11.1 seconds
Name: Turflyn Walk, Instruction: Turn left onto Turflyn Walk, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 134.8 meters, Time: 97.0 seconds
Name: Induland Avenue, Instruction: Turn right onto Induland Avenue, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 287.8 meters, Time: 207.2 seconds
Name: -, Instruction: Turn slight right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Keep left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 187.8 meters, Time: 135.2 seconds
Name: -, Instruction: Keep right, Distance: 39.0 meters, Time: 28.1 seconds
Name: Benona Road, Instruction: Turn right onto Benona Road, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn left, Distance: 38.1 meters, Time: 27.4 seconds
Name: Turf Hall Road, M24, Instruction: Turn right onto Turf Hall Road, M24, Distance: 142.5 meters, Time: 102.6 seconds
Name: -, Instruction: Turn right, Distance: 40.4 meters, Time: 29.1 seconds
Name: Haywood Road, Instruction: Turn left onto Haywood Road, Distance: 483.5 meters, Time: 348.1 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
