Name: England Street, Instruction: Head south on England Street, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 46.6 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 246.4 meters, Time: 177.4 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Keep right, Distance: 332.5 meters, Time: 239.4 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Keep left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Keep right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn slight right, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Turn right, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Keep right, Distance: 14.1 meters, Time: 10.1 seconds
Name: Sussex Street, Instruction: Turn right onto Sussex Street, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at Sussex Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
