Name: 台橋通り, Instruction: Head south on 台橋通り, Distance: 285.9 meters, Time: 205.8 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 94.4 meters, Time: 68.0 seconds
Name: -, Instruction: Turn right, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn slight left, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Continue straight, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 28.0 seconds
Name: -, Instruction: Turn slight left, Distance: 228.8 meters, Time: 164.8 seconds
Name: -, Instruction: Turn slight left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Keep right, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Turn right, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 282.7 meters, Time: 203.6 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 137.5 meters, Time: 99.0 seconds
Name: -, Instruction: Turn left, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
