Name: Rue Albert Sorel, Instruction: Head south on Rue Albert Sorel, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 351.9 meters, Time: 253.4 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: Avenue Jean Moulin, Instruction: Turn left onto Avenue Jean Moulin, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 117.9 meters, Time: 84.9 seconds
Name: -, Instruction: Turn left, Distance: 439.9 meters, Time: 316.8 seconds
Name: -, Instruction: Keep right, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Keep right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Keep left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Rue Gassendi, Instruction: Turn right onto Rue Gassendi, Distance: 839.0 meters, Time: 604.1 seconds
Name: Boulevard Edgar Quinet, Instruction: Turn right onto Boulevard Edgar Quinet, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 116.3 meters, Time: 83.8 seconds
Name: -, Instruction: Keep left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 99.4 meters, Time: 71.6 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue Notre-Dame-des-Champs, Instruction: Turn right onto Rue Notre-Dame-des-Champs, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Arrive at Rue Notre-Dame-des-Champs, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
