Name: Rua E, Instruction: Head northwest on Rua E, Distance: 293.8 meters, Time: 211.5 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 39.9 seconds
Name: Rua C, Instruction: Turn right onto Rua C, Distance: 710.9 meters, Time: 511.9 seconds
Name: -, Instruction: Keep left, Distance: 81.9 meters, Time: 58.9 seconds
Name: Avenida Vinte de Janeiro, Instruction: Enter the roundabout and take the 2nd exit onto Avenida Vinte de Janeiro, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Keep right, Distance: 76.7 meters, Time: 55.3 seconds
Name: -, Instruction: Keep right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Keep right, Distance: 422.2 meters, Time: 304.0 seconds
Name: -, Instruction: Keep right, Distance: 244.9 meters, Time: 176.4 seconds
Name: Avenida Vinte de Janeiro, Instruction: Continue straight onto Avenida Vinte de Janeiro, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Keep right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Keep left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Keep right, Distance: 148.4 meters, Time: 106.9 seconds
Name: -, Instruction: Keep left, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
