Name: Rua Bezerra de Menezes, Instruction: Head south on Rua Bezerra de Menezes, Distance: 113.8 meters, Time: 81.9 seconds
Name: Rua Professor Burlamaqui, Instruction: Turn right onto Rua Professor Burlamaqui, Distance: 326.2 meters, Time: 234.9 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Turn left onto Avenida Ministro Edgard Romero, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Turn left onto Avenida Ministro Edgard Romero, Distance: 23.7 meters, Time: 17.1 seconds
Name: Vila Queiroz, Instruction: Turn right onto Vila Queiroz, Distance: 421.5 meters, Time: 303.5 seconds
Name: -, Instruction: Turn right, Distance: 294.4 meters, Time: 211.9 seconds
Name: Rua Piraquê, Instruction: Turn left onto Rua Piraquê, Distance: 92.6 meters, Time: 66.6 seconds
Name: Rua Tatui, Instruction: Turn right onto Rua Tatui, Distance: 413.0 meters, Time: 297.4 seconds
Name: Rua Leopoldino de Oliveira, Instruction: Turn sharp left onto Rua Leopoldino de Oliveira, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 561.1 meters, Time: 404.0 seconds
Name: Rua Conselheiro Galvão, Instruction: Turn left onto Rua Conselheiro Galvão, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 401.6 meters, Time: 289.1 seconds
Name: -, Instruction: Turn slight left, Distance: 316.2 meters, Time: 227.7 seconds
Name: Rua Conselheiro Galvão, Instruction: Turn sharp right onto Rua Conselheiro Galvão, Distance: 64.3 meters, Time: 46.3 seconds
Name: Rua Oliva Maia, Instruction: Keep left onto Rua Oliva Maia, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
