Name: Taman Selamat, Instruction: Head west on Taman Selamat, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Taman Kembangan, Instruction: Turn right onto Taman Kembangan, Distance: 6.9 meters, Time: 5.0 seconds
Name: Jalan Kembangan, Instruction: Turn left onto Jalan Kembangan, Distance: 69.4 meters, Time: 50.0 seconds
Name: Jalan Kembangan, Instruction: Keep right onto Jalan Kembangan, Distance: 97.6 meters, Time: 70.3 seconds
Name: Lengkong Tiga, Instruction: Enter the roundabout and take the 1st exit onto Lengkong Tiga, Distance: 277.1 meters, Time: 199.5 seconds
Name: -, Instruction: Turn left, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 115.5 meters, Time: 83.2 seconds
Name: -, Instruction: Turn left, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Keep left, Distance: 244.9 meters, Time: 176.3 seconds
Name: -, Instruction: Turn left, Distance: 53.4 meters, Time: 38.5 seconds
Name: Jalan Ismail, Instruction: Turn right onto Jalan Ismail, Distance: 288.3 meters, Time: 207.6 seconds
Name: -, Instruction: Turn left, Distance: 175.8 meters, Time: 126.6 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: Eunos Crescent, Instruction: Turn left onto Eunos Crescent, Distance: 104.7 meters, Time: 75.4 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 206.2 meters, Time: 148.5 seconds
Name: -, Instruction: Turn right, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: Eunos Avenue 5, Instruction: Continue straight onto Eunos Avenue 5, Distance: 206.5 meters, Time: 148.7 seconds
Name: -, Instruction: Turn left, Distance: 105.8 meters, Time: 76.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
