Name: Edengarth Court, Instruction: Head west on Edengarth Court, Distance: 50.0 meters, Time: 36.0 seconds
Name: Flemington Road, Instruction: Turn right onto Flemington Road, Distance: 34.8 meters, Time: 25.0 seconds
Name: Stockton Road, Instruction: Turn left onto Stockton Road, Distance: 95.8 meters, Time: 68.9 seconds
Name: Highland Hill, Instruction: Turn sharp right onto Highland Hill, Distance: 144.2 meters, Time: 103.8 seconds
Name: Sparrow Avenue, Instruction: Turn left onto Sparrow Avenue, Distance: 449.8 meters, Time: 323.9 seconds
Name: -, Instruction: Turn right, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 180.2 meters, Time: 129.7 seconds
Name: -, Instruction: Keep left, Distance: 210.0 meters, Time: 151.2 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 203.8 meters, Time: 146.7 seconds
Name: -, Instruction: Turn right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
