Name: Gunyah Drive, Instruction: Head north on Gunyah Drive, Distance: 7.6 meters, Time: 5.5 seconds
Name: Bradley Street, Instruction: Turn right onto Bradley Street, Distance: 43.5 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn slight left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight right, Distance: 63.4 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 219.0 meters, Time: 157.7 seconds
Name: -, Instruction: Turn slight right, Distance: 194.9 meters, Time: 140.4 seconds
Name: -, Instruction: Turn right, Distance: 377.5 meters, Time: 271.8 seconds
Name: -, Instruction: Turn left, Distance: 264.1 meters, Time: 190.2 seconds
Name: Parakeet Grove, Instruction: Turn right onto Parakeet Grove, Distance: 8.6 meters, Time: 6.2 seconds
Name: Ridgetop Drive, Instruction: Turn left onto Ridgetop Drive, Distance: 109.7 meters, Time: 79.0 seconds
Name: Monarch Circuit, Instruction: Turn right onto Monarch Circuit, Distance: 332.5 meters, Time: 239.4 seconds
Name: -, Instruction: Turn right, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Keep left, Distance: 192.0 meters, Time: 138.3 seconds
Name: Ridgetop Drive, Instruction: Turn left onto Ridgetop Drive, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at Ridgetop Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
