Name: Ismaninger Straße, Instruction: Head north on Ismaninger Straße, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 302.4 meters, Time: 217.7 seconds
Name: Prinzregentenstraße, Instruction: Turn left onto Prinzregentenstraße, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Keep right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Möhlstraße, Instruction: Turn right onto Möhlstraße, Distance: 730.0 meters, Time: 525.6 seconds
Name: Möhlstraße, Instruction: Keep left onto Möhlstraße, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Keep right, Distance: 63.7 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: Kufsteiner Straße, Instruction: Turn right onto Kufsteiner Straße, Distance: 95.4 meters, Time: 68.7 seconds
Name: Kufsteiner Platz, Instruction: Turn slight left onto Kufsteiner Platz, Distance: 57.2 meters, Time: 41.2 seconds
Name: Pienzenauerstraße, Instruction: Turn right onto Pienzenauerstraße, Distance: 760.4 meters, Time: 547.5 seconds
Name: -, Instruction: Arrive at Pienzenauerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
