Name: 豊島園通り, Instruction: Head north on 豊島園通り, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 186.6 meters, Time: 134.4 seconds
Name: -, Instruction: Turn right, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 133.6 meters, Time: 96.2 seconds
Name: -, Instruction: Turn left, Distance: 212.3 meters, Time: 152.8 seconds
Name: -, Instruction: Turn right, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Turn left, Distance: 65.6 meters, Time: 47.3 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
