Name: Eaton Avenue, Instruction: Head south on Eaton Avenue, Distance: 343.9 meters, Time: 247.6 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 229.3 meters, Time: 165.1 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Keep right, Distance: 7.0 meters, Time: 5.1 seconds
Name: Chatham Avenue, Instruction: Turn left onto Chatham Avenue, Distance: 320.2 meters, Time: 230.6 seconds
Name: Chatham Avenue, Instruction: Turn left onto Chatham Avenue, Distance: 131.5 meters, Time: 94.7 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Keep left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Oakvale Path, Instruction: Keep left onto Oakvale Path, Distance: 26.5 meters, Time: 19.0 seconds
Name: Oakvale Path, Instruction: Keep right onto Oakvale Path, Distance: 7.7 meters, Time: 5.5 seconds
Name: Oakvale Avenue, Instruction: Turn left onto Oakvale Avenue, Distance: 143.1 meters, Time: 103.0 seconds
Name: -, Instruction: Turn right, Distance: 200.4 meters, Time: 144.3 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 64.1 meters, Time: 46.2 seconds
Name: -, Instruction: Turn left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: Unity Road, Instruction: Turn right onto Unity Road, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
