Name: Rue de la Montagne de l'Espérou, Instruction: Head southwest on Rue de la Montagne de l'Espérou, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 287.4 meters, Time: 206.9 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight left, Distance: 120.1 meters, Time: 86.5 seconds
Name: -, Instruction: Turn slight right, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Turn left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn slight right, Distance: 419.3 meters, Time: 301.9 seconds
Name: -, Instruction: Turn slight right, Distance: 44.7 meters, Time: 32.1 seconds
Name: Boulevard Victor, Instruction: Turn right onto Boulevard Victor, Distance: 343.3 meters, Time: 247.2 seconds
Name: -, Instruction: Keep left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 878.6 meters, Time: 632.6 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 52.8 meters, Time: 38.0 seconds
Name: Rue Léon Dierx, Instruction: Turn left onto Rue Léon Dierx, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at Rue Léon Dierx, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
