Name: Main Street, Instruction: Head south on Main Street, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 248.1 meters, Time: 178.6 seconds
Name: -, Instruction: Turn right, Distance: 109.8 meters, Time: 79.0 seconds
Name: -, Instruction: Keep right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 312.2 meters, Time: 224.8 seconds
Name: -, Instruction: Continue straight, Distance: 165.1 meters, Time: 118.9 seconds
Name: -, Instruction: Turn right, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Keep right, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Shuttleworth Place, Instruction: Turn sharp right onto Shuttleworth Place, Distance: 5.5 meters, Time: 3.9 seconds
Name: Monyash Road, Instruction: Turn left onto Monyash Road, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 136.6 meters, Time: 98.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
