Name: Osborne Avenue, Instruction: Head southeast on Osborne Avenue, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 199.8 meters, Time: 143.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 110.2 meters, Time: 79.4 seconds
Name: -, Instruction: Turn left, Distance: 156.3 meters, Time: 112.5 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: Kimberley Avenue, Instruction: Turn left onto Kimberley Avenue, Distance: 46.5 meters, Time: 33.5 seconds
Name: Lyall Avenue, Instruction: Turn right onto Lyall Avenue, Distance: 91.7 meters, Time: 66.1 seconds
Name: Main Street, Instruction: Turn left onto Main Street, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 161.8 meters, Time: 116.5 seconds
Name: -, Instruction: Turn right, Distance: 252.3 meters, Time: 181.6 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 355.9 meters, Time: 256.2 seconds
Name: -, Instruction: Keep right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight right, Distance: 108.1 meters, Time: 77.8 seconds
Name: -, Instruction: Keep left, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Keep right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn left, Distance: 185.5 meters, Time: 133.6 seconds
Name: -, Instruction: Keep left, Distance: 375.5 meters, Time: 270.3 seconds
Name: Suzanne Beard Lane, Instruction: Turn right onto Suzanne Beard Lane, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Turn left, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
