Name: Nottinghill Road, Instruction: Head north on Nottinghill Road, Distance: 1573.3 meters, Time: 1132.8 seconds
Name: Kerrs Road, Instruction: Turn right onto Kerrs Road, Distance: 195.5 meters, Time: 140.8 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: Kerrs Road, Instruction: Turn sharp right onto Kerrs Road, Distance: 192.0 meters, Time: 138.2 seconds
Name: Joseph Street, Instruction: Turn left onto Joseph Street, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 182.0 meters, Time: 131.0 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
