Name: Rue Mansart, Instruction: Head east on Rue Mansart, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 201.1 meters, Time: 144.8 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn slight right, Distance: 25.0 meters, Time: 18.0 seconds
Name: Rue Catherine de La Rochefoucauld, Instruction: Turn right onto Rue Catherine de La Rochefoucauld, Distance: 179.4 meters, Time: 129.2 seconds
Name: Rue d'Aumale, Instruction: Turn left onto Rue d'Aumale, Distance: 93.8 meters, Time: 67.6 seconds
Name: Rue Taitbout, Instruction: Turn right onto Rue Taitbout, Distance: 528.4 meters, Time: 380.4 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Rue du Helder, Instruction: Turn right onto Rue du Helder, Distance: 548.9 meters, Time: 395.2 seconds
Name: -, Instruction: Turn left, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Keep right, Distance: 64.6 meters, Time: 46.5 seconds
Name: Rue d'Argenteuil, Instruction: Turn left onto Rue d'Argenteuil, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 137.6 meters, Time: 99.1 seconds
Name: -, Instruction: Turn right, Distance: 111.5 meters, Time: 80.3 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
